person,picture_name,keith_emotion,keith_emotion_strength
keith,keith(328).jpg,angry,0.53
keith,iu21.png,angry,0.4
keith,keith(194).jpg,happy,0.91
keith,iu39.png,neutral,0.43
keith,DPQg2csW4AAkrcS.png,happy,1
keith,iu51.png,neutral,0.95
keith,keith(72).jpg,neutral,0.63
keith,keith(311).jpg,neutral,0.77
keith,keith(142).jpg,happy,0.77
keith,iu58.png,happy,0.55
keith,keir-starmer-labour-mp-for-st-pancreas-and-holborn-speaking-to-at-picture-id1171315599.png,happy,0.26
keith,keith(264).jpg,angry,0.37
keith,keith(427).jpg,happy,0.81
keith,keith(27).jpg,angry,0.3
keith,keith(261).jpg,sad,0.36
keith,EOWw3bTWoAAuJD6.png,surprise,0.62
keith,iu16.png,angry,0.42
keith,keith(78).jpg,angry,0.76
keith,keith(7).jpg,angry,0.56
keith,keith(326).jpg,neutral,0.78
keith,650888c5-a431-4ca7-91e3-80dc8a5fbf03.png,sad,0.37
keith,41W4JNCo9HL.png,happy,0.57
keith,keith(302).jpg,angry,0.91
keith,keith(179).jpg,sad,0.51
keith,keith(178).jpg,angry,0.34
keith,iu62.png,sad,0.43
keith,keith(161).jpg,angry,0.46
keith,keith(397).jpg,happy,0.57
keith,keith(92).jpg,happy,0.34
keith,f4b6e188-391d-4578-8787-de62e1ea2a63-2060x1236.png,sad,0.59
keith,keith(35).jpg,neutral,0.9
keith,keith(262).jpg,angry,0.56
keith,keith(44).jpg,angry,0.39
keith,1200x800.png,neutral,0.34
keith,keith(344).jpg,neutral,0.39
keith,iu45.png,angry,0.44
keith,keith(119).jpg,happy,0.56
keith,keith(372).jpg,angry,0.62
keith,keith(20).jpg,angry,0.54
keith,keith(450).jpg,happy,1
keith,keith(234).jpg,neutral,0.54
keith,keith(386).jpg,angry,0.52
keith,keith(132).jpg,surprise,0.29
keith,keith(168).jpg,happy,0.64
keith,Keir-starmer-claps-1280.png,angry,0.42
keith,keith(15).jpg,angry,0.52
keith,30133694-0-image-a-96_1593299838410.png,happy,0.96
keith,iu34.png,angry,0.75
keith,238725.png,neutral,0.59
keith,keith(206).jpg,happy,0.92
keith,0_Keir-Starmer-Falmouth-1.png,angry,0.52
keith,1133266918.png,angry,0.49
keith,WOXYUCLPXFDY3AA2LWWKMVZIWQ.png,angry,0.47
keith,keith(42).jpg,happy,0.27
keith,keith(146).jpg,angry,0.59
keith,keith(314).jpg,sad,0.47
keith,keith(458).jpg,happy,0.81
keith,keith(149).jpg,happy,0.9
keith,keith(159).jpg,angry,0.59
keith,1_BestPix-Sir-Keir-Starmer-Visits-Nursing-Home-Care-Workers-And-Families-Of-Residents.png,neutral,0.4
keith,keith(202).jpg,angry,0.37
keith,keith(223).jpg,angry,0.45
keith,2Q.png,angry,0.68
keith,f902528400808b20ba05c5b60adc98c4Y29udGVudHNlYXJjaGFwaSwxNjE3MzEyMzQ0-2.png,angry,0.42
keith,GettyImages-1216760839.png,happy,1
keith,keith(29).jpg,angry,0.51
keith,keith(253).jpg,angry,0.55
keith,keith(3).jpg,angry,0.55
keith,keith(169).jpg,angry,0.6
keith,keith(367).jpg,fear,0.4
keith,keith(352).jpg,angry,0.66
keith,keith(37).jpg,angry,0.65
keith,keith(435).jpg,angry,0.44
keith,keith.jpg,angry,0.51
keith,keith(50).jpg,happy,0.95
keith,PA-49497349-Labour-Leader.png,angry,0.55
keith,keith(51).jpg,neutral,0.51
keith,keith(305).jpg,happy,0.46
keith,keith(220).jpg,sad,0.35
keith,keith(8).jpg,neutral,0.66
keith,keith(139).jpg,angry,0.45
keith,keith(237).jpg,neutral,0.58
keith,keith(107).jpg,angry,0.51
keith,keith(46).jpg,neutral,0.76
keith,keith(239).jpg,angry,0.84
